,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
11451,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,11.2,2022,88.8
11452,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,8.7,2023,91.3
11453,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,12.7,2024,87.3
11454,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Straight,3.9,2019,96.1
11455,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Straight,3.7,2020,96.3
11456,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Straight,3.5,2021,96.5
11457,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Straight,4.3,2022,95.7
11458,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Straight,4.6,2023,95.4
11459,Did not get needed mental health care due to cost,Demographic Characteristic,Sexual orientation,Straight,4.9,2024,95.1
11460,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Veteran,2.0,2019,98.0
11461,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Veteran,1.9,2020,98.1
11462,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Veteran,1.6,2021,98.4
11463,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Veteran,2.7,2022,97.3
11464,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Veteran,2.9,2023,97.1
11465,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Veteran,2.4,2024,97.6
11466,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Non-veteran,4.6,2019,95.4
11467,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Non-veteran,4.5,2020,95.5
11468,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Non-veteran,4.4,2021,95.6
11469,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Non-veteran,5.2,2022,94.8
11470,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Non-veteran,5.7,2023,94.3
11471,Did not get needed mental health care due to cost,Demographic Characteristic,Veteran status,Non-veteran,6.2,2024,93.8
11472,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,4.4,2019,95.6
11473,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,4.3,2020,95.7
11474,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,4.3,2021,95.7
11475,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,5.3,2022,94.7
11476,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,5.7,2023,94.3
11477,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,5.8,2024,94.2
11478,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,4.6,2019,95.4
11479,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,4.7,2020,95.3
11480,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,4.3,2021,95.7
11481,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,5.1,2022,94.9
11482,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,5.6,2023,94.4
11483,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,6.4,2024,93.6
11484,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,3.6,2019,96.4
11485,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,3.4,2020,96.6
11486,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,3.4,2021,96.6
11487,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,3.6,2022,96.4
11488,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,4.5,2023,95.5
11489,Did not get needed mental health care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,5.0,2024,95.0
11490,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Northeast,3.5,2019,96.5
11491,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Northeast,3.3,2020,96.7
11492,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Northeast,3.0,2021,97.0
11493,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Northeast,4.1,2022,95.9
11494,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Northeast,4.1,2023,95.9
11495,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Northeast,5.0,2024,95.0
11496,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Midwest,4.7,2019,95.3
11497,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Midwest,4.3,2020,95.7
11498,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Midwest,4.5,2021,95.5
11499,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Midwest,4.6,2022,95.4
11500,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Midwest,5.2,2023,94.8
11501,Did not get needed mental health care due to cost,Geographic Characteristic,Region,Midwest,5.8,2024,94.2
11502,Did not get needed mental health care due to cost,Geographic Characteristic,Region,South,4.4,2019,95.6
11503,Did not get needed mental health care due to cost,Geographic Characteristic,Region,South,4.4,2020,95.6
11504,Did not get needed mental health care due to cost,Geographic Characteristic,Region,South,4.5,2021,95.5
11505,Did not get needed mental health care due to cost,Geographic Characteristic,Region,South,5.1,2022,94.9
11506,Did not get needed mental health care due to cost,Geographic Characteristic,Region,South,5.6,2023,94.4
11507,Did not get needed mental health care due to cost,Geographic Characteristic,Region,South,5.9,2024,94.1
11508,Did not get needed mental health care due to cost,Geographic Characteristic,Region,West,4.7,2019,95.3
11509,Did not get needed mental health care due to cost,Geographic Characteristic,Region,West,4.7,2020,95.3
11510,Did not get needed mental health care due to cost,Geographic Characteristic,Region,West,4.4,2021,95.6
11511,Did not get needed mental health care due to cost,Geographic Characteristic,Region,West,5.9,2022,94.1
11512,Did not get needed mental health care due to cost,Geographic Characteristic,Region,West,6.5,2023,93.5
11513,Did not get needed mental health care due to cost,Geographic Characteristic,Region,West,6.5,2024,93.5
11514,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,3.8,2019,96.2
11515,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,3.5,2020,96.5
11516,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,3.8,2021,96.2
11517,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,4.2,2022,95.8
11518,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,4.8,2023,95.2
11519,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,5.3,2024,94.7
11520,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,4.7,2019,95.3
11521,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,4.5,2020,95.5
11522,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,4.9,2021,95.1
11523,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,4.7,2022,95.3
11524,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,5.7,2023,94.3
11525,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,5.9,2024,94.1
11526,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,4.7,2019,95.3
11527,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,4.8,2020,95.2
11528,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,4.5,2021,95.5
11529,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,5.8,2022,94.2
11530,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,6.2,2023,93.8
11531,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,5.8,2024,94.2
11532,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,3.9,2019,96.1
11533,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,4.0,2020,96.0
11534,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,3.2,2021,96.8
11535,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,5.0,2022,95.0
11536,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,5.1,2023,94.9
11537,Did not get needed mental health care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,6.2,2024,93.8
11538,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large central metro,5.2,2019,94.8
11539,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large central metro,4.6,2020,95.4
11540,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large central metro,4.7,2021,95.3
11541,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large central metro,5.6,2022,94.4
11542,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large central metro,6.1,2023,93.9
11543,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large central metro,6.4,2024,93.6
11544,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,3.6,2019,96.4
11545,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,3.9,2020,96.1
11546,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,3.9,2021,96.1
11547,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,4.9,2022,95.1
11548,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,5.1,2023,94.9
11549,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,5.3,2024,94.7
11550,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,4.4,2019,95.6
11551,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,4.7,2020,95.3
11552,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,4.3,2021,95.7
11553,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,5.1,2022,94.9
11554,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,5.6,2023,94.4
11555,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,6.1,2024,93.9
11556,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,3.6,2019,96.4
11557,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,3.4,2020,96.6
11558,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,3.4,2021,96.6
11559,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,3.6,2022,96.4
11560,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,4.5,2023,95.5
11561,Did not get needed mental health care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,5.3,2024,94.7
11562,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,3.1,2019,96.9
11563,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,3.3,2020,96.7
11564,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,2.5,2021,97.5
11565,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,3.0,2022,97.0
11566,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,3.1,2023,96.9
11567,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,3.4,2024,96.6
11568,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,3.6,2019,96.4
11569,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,3.4,2020,96.6
11570,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,2.9,2021,97.1
11571,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,3.2,2022,96.8
11572,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,4.5,2023,95.5
11573,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,4.8,2024,95.2
11574,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,Some college,5.2,2019,94.8
11575,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,Some college,4.5,2020,95.5
11576,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,Some college,4.8,2021,95.2
11577,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,Some college,6.0,2022,94.0
11578,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,Some college,6.4,2023,93.6
11579,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,Some college,6.5,2024,93.5
11580,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.3,2019,95.7
11581,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.4,2020,95.6
11582,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.5,2021,95.5
11583,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.9,2022,95.1
11584,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,College degree or higher,5.7,2023,94.3
11585,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Education,College degree or higher,5.9,2024,94.1
11586,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed,4.6,2019,95.4
11587,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed,4.7,2020,95.3
11588,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed,4.8,2021,95.2
11589,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed,5.6,2022,94.4
11590,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed,6.1,2023,93.9
11591,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed,7.0,2024,93.0
11592,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,4.3,2019,95.7
11593,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,4.3,2020,95.7
11594,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,4.5,2021,95.5
11595,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,5.2,2022,94.8
11596,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,6.1,2023,93.9
11597,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,6.6,2024,93.4
11598,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,5.7,2019,94.3
11599,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,6.6,2020,93.4
11600,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,6.3,2021,93.7
11601,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,7.4,2022,92.6
11602,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,6.0,2023,94.0
11603,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,8.5,2024,91.5
11604,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed,3.9,2019,96.1
11605,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed,3.7,2020,96.3
11606,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed,3.2,2021,96.8
11607,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed,4.0,2022,96.0
11608,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed,4.5,2023,95.5
11609,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed,3.9,2024,96.1
11610,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,4.1,2019,95.9
11611,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,3.7,2020,96.3
11612,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,3.4,2021,96.6
11613,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,4.2,2022,95.8
11614,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,4.6,2023,95.4
11615,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,4.1,2024,95.9
11616,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,1.9,2019,98.1
11618,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,1.1,2021,98.9
11619,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,1.8,2022,98.2
11620,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2.4,2023,97.6
11621,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,1.8,2024,98.2
11622,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,0.9,2019,99.1
11623,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,0.9,2020,99.1
11624,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,0.8,2021,99.2
11625,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,0.8,2022,99.2
11626,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,1.2,2023,98.8
11627,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,0.7,2024,99.3
11628,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.0,2019,98.0
11629,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.7,2020,97.3
11630,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,0.8,2021,99.2
11631,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,0.9,2022,99.1
11632,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.3,2023,97.7
11633,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,1.7,2024,98.3
11634,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,1.9,2019,98.1
11635,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,1.1,2020,98.9
11636,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,1.2,2021,98.8
11637,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,1.3,2022,98.7
11638,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,1.4,2023,98.6
11639,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,1.1,2024,98.9
11640,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,1.4,2019,98.6
11641,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,1.4,2020,98.6
11642,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,1.0,2021,99.0
11643,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2.2,2022,97.8
11644,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2.0,2023,98.0
11645,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,0.8,2024,99.2
11646,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,0.2,2019,99.8
11647,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,0.9,2020,99.1
11648,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,0.8,2021,99.2
11649,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,0.9,2022,99.1
11650,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,0.3,2023,99.7
11651,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,0.6,2024,99.4
11658,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,3.9,2019,96.1
11659,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,4.2,2020,95.8
11660,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,4.6,2021,95.4
11661,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,5.3,2022,94.7
11662,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,6.3,2023,93.7
11663,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,6.6,2024,93.4
11664,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,6.0,2019,94.0
11665,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,5.3,2020,94.7
11666,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,4.5,2021,95.5
11667,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,6.5,2022,93.5
11668,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,6.4,2023,93.6
11669,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,6.3,2024,93.7
11670,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,5.7,2019,94.3
11671,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,5.2,2020,94.8
11672,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,4.3,2021,95.7
11673,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,6.5,2022,93.5
11674,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,7.2,2023,92.8
11675,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,5.7,2024,94.3
11676,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,10.0,2019,90.0
11677,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,9.5,2020,90.5
11678,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,9.2,2021,90.8
11679,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,9.8,2022,90.2
11680,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,9.6,2023,90.4
11681,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,13.6,2024,86.4
11682,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,6.0,2019,94.0
11683,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,5.8,2020,94.2
11684,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,6.4,2021,93.6
11685,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,6.1,2022,93.9
11686,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,6.6,2023,93.4
11687,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,7.0,2024,93.0
11688,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,6.5,2019,93.5
11689,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,5.7,2020,94.3
11690,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,5.0,2021,95.0
11691,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,6.5,2022,93.5
11692,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,7.0,2023,93.0
11693,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,6.8,2024,93.2
11694,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,3.5,2019,96.5
11695,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,3.7,2020,96.3
11696,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,3.7,2021,96.3
11697,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,4.5,2022,95.5
11698,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,5.0,2023,95.0
11699,Did not get needed mental health care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,5.5,2024,94.5
11700,Did not take medication as prescribed to save money,Total,Total,18 years and older,9.6,2019,90.4
11701,Did not take medication as prescribed to save money,Total,Total,18 years and older,8.3,2020,91.7
11702,Did not take medication as prescribed to save money,Total,Total,18 years and older,6.8,2021,93.2
11703,Did not take medication as prescribed to save money,Total,Total,18 years and older,6.8,2022,93.2
11704,Did not take medication as prescribed to save money,Total,Total,18 years and older,7.8,2023,92.2
11705,Did not take medication as prescribed to save money,Total,Total,18 years and older,7.8,2024,92.2
